Monitor - Gender Equality,,,,,,,,,, 
Date,Development,Forecast,Signpost,Slider Score,Sector Impacted,Who is impacted?,National Security Considerations,Link,Additional Link and/or note,Domains of Assessment
1/20/2025,Executive order establishing 90-day pause on foreign assistance ,Forecast - Diplomatic Disruption,"Signpost - US withdrawal from or defunding of international organizations advancing gender, LGBTQ+, or reproductive rights",3,International/Multilateral,"women and LGBTQ+ beneficiaries, international gender rights organizations",no,https://www.whitehouse.gov/presidential-actions/2025/01/reevaluating-and-realigning-united-states-foreign-aid/,,Procedural/Institutional
1/20/2025,"President Trump issued an executive order stating that there are only two biologically distinct genders, that federal agencies musu use the term ""sex"" instead of gender,"" and ending gender-related medical treatments for transgender people in prison among other protections.",Forecast - Political Disruption,"Signpost - Legislative or executive actions restricting reproductive, gender, or workplace rights",4,Federal Executive,"trans and non-binary inmates, transgender and gender-diverse individuals",no,https://www.whitehouse.gov/presidential-actions/2025/01/defending-women-from-gender-ideology-extremism-and-restoring-biological-truth-to-the-federal-government/,https://www.nytimes.com/2025/01/23/us/trump-transgender-inmates-prison.html?utm_source=substack&utm_medium=email,Procedural/Institutional
1/20/2025,"President Trump issued an executive order effectively repealing Biden's executive orders, including those that safeguarded LGBTQ+ protections, moving away from norms of gender/sexual equality.",Forecast - Political Disruption,"Signpost - Legislative or executive actions restricting reproductive, gender, or workplace rights",4,Federal Executive,transgender and gender-diverse individuals,no,https://www.whitehouse.gov/presidential-actions/2025/01/initial-rescissions-of-harmful-executive-orders-and-actions/,,Procedural/Institutional
1/21/2025,"The Trump administration shut down reproductiverights.gov, a website with helpful reproductive rights information. ",Forecast - Political Disruption,Signpost - Public information and data erasure in government systems,3,Federal Governance / Public Institutions,women and girls,no,https://www.usatoday.com/story/news/politics/2025/01/21/reproductive-rights-government-website-shut-down/77846157007/?utm_source=substack&utm_medium=email,,Material Impact
1/22/2025,"Governor Gretchen Whitmer has signed 16 bills to expand reproductive freedom across the state, including one that allows pharmacists to directly prescribe and dispense contraceptives. The package of bills allows women to more easily access critical health care by lowering costs and cutting “unnecessary red tape.” The Governor’s office says the bills also bolster her commitment to advancing reproductive freedoms here in Michigan, allowing more Michiganders to control if, when, and how they choose to start their families.",Forecast - Political Progression ,"Signpost - State or federal policy actions that establish, reinstate, or expand gender, reproductive, or LGBTQ+ protections",-4,State Government,"women and girls, Reproductive healthcare patients and providers",no,https://www.wilx.com/2025/01/22/gov-whitmer-signs-16-bills-expanding-reproductive-freedom/,,Procedural/Institutional
1/22/2025,"During a Senate Veterans’ Affairs Committee hearing yesterday, Ranking Member Richard Blumenthal (D-CT) pressed Doug Collins, the nominee to be Secretary of Veterans Affairs, to commit to protecting veterans’ access to reproductive care under the Department of Veterans Affairs’ (VA) current rule to offer abortion counseling and care in certain cases.“I expect the Administration to consider the existing rule legally binding, unless it is replaced or struck down,” said Blumenthal. “I believe that rolling back this policy would unnecessarily risk the lives and health of pregnant veterans in states with abortion bans and care restrictions in the post-Dobbs era.”",Forecast- Status Quo,,0,Federal Legislative,Women veterans,no,https://www.veterans.senate.gov/2025/1/icymi-blumenthal-pushes-collins-to-protect-veterans-reproductive-rights,,Discursive/Symbolic
1/22/2025,"Senate Democrats blocked a Republican-written bill on Wednesday that could subject some doctors who perform abortions to criminal penalties, thwarting the G.O.P.’s first attempt to restrict reproductive rights since the party has secured its governing trifecta.",Forecast - Political Progression ,"Signpost - State or federal policy actions that establish, reinstate, or expand gender, reproductive, or LGBTQ+ protections",-3,Federal Legislative,"Healthcare practitioners, Reproductive healthcare patients and providers",no,https://www.nytimes.com/2025/01/22/us/politics/senate-abortion-vote-republicans.html,,Procedural/Institutional
1/23/2025,President Trump issued an executive order pardoning 23 anti-abortion protesters the day before the March for Life rally.,Forecast - Political Disruption,Signpost - Increased use of executive orders to circumvent legislative and judicial constraints,4,Federal Executive,Human rights advocates/activists,no,https://www.nbcnews.com/politics/donald-trump/trump-pardons-anti-abortion-protestors-day-annual-march-life-rally-rcna189038?utm_source=substack&utm_medium=email,,Discursive/Symbolic
1/23/2025,"President Trump issued an executive order terminating DEIA programs in the federal government. On Tuesday, U.S. Office of Personnel Management (OPM) acting director Charles Ezell sent a memo to agency leaders ordering them to place all employees of DEIA offices on paid administrative leave no later than 5 p.m. Wednesday. Agencies were also told to send agency-wide notices ""asking employees if they know of any efforts to disguise these programs by using coded or imprecise language.""",Forecast - Political Disruption,Signpost - Politicization or repurposing of protective institutions for political objectives,4,Federal Executive,federal workforce,yes,https://www.npr.org/2025/01/23/nx-s1-5271588/trump-dei-diversity-equity-inclusion-federal-workers-government?utm_source=substack&utm_medium=email,,Procedural/Institutional
1/24/2025,"Less than a week after being sworn in as Donald Trump’s vice-president, former U.S. Sen. JD Vance of Ohio told a National March for Life rally by the Washington Monument that the new administration stands “with you, and most importantly we stand with the most vulnerable.” “I want more babies in the United States of America,” the Cincinnati Republican said in his first public address as vice president. “I want more happy children in our country and I want beautiful young men and women who are eager to welcome them into the world and eager to raise them.”",Forecast- Status Quo,,0,Federal Executive,Reproductive healthcare patients and providers,no,https://www.cleveland.com/news/2025/01/i-want-more-babies-in-america-jd-vance-says-in-his-first-public-address-as-vice-president.html,,Discursive/Symbolic
